Country,Indicator,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Cameroon,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,1,,1,1,,,1,,,,,1,1,2,,1,,2,,1,1,,1,,3,1,1,1,,1,,1,1,,4
Canada,"Climate related disasters frequency, Number of Disasters: Drought",,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,
Canada,"Climate related disasters frequency, Number of Disasters: Flood",,,,1,,,1,2,1,,1,,,1,,1,1,1,1,,,,1,4,2,2,5,1,2,1,,1,1,1,1,,1,2,1,1,1,1,2
Canada,"Climate related disasters frequency, Number of Disasters: Storm",,1,,,,1,1,1,,1,,1,,,2,1,1,1,1,2,1,1,,2,2,1,,2,,2,1,2,2,1,,,,,1,1,1,1,4
Canada,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,1,1,1,2,4,3,2,2,1,1,2,1,3,4,2,3,3,3,1,2,2,7,4,5,5,3,2,3,1,4,3,3,2,1,2,3,4,2,2,4,6
Canada,"Climate related disasters frequency, Number of Disasters: Wildfire",1,,,,,1,2,,,1,,,1,,1,2,,1,1,1,,1,1,1,,2,,,,,,1,,,,1,1,1,1,,,1,
Canary Island,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Canary Island,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
Canary Island,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,
Canary Island,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,,,,,,,,,,,,,,,
Canary Island,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Cayman Islands,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,2,,,,,,,,,,,,,,
Cayman Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,,,1,2,,2,,,,2,,,,,,,,,,,,,,
Central African Rep.,"Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Central African Rep.,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,1,1,,1,2,,,,1,1,1,,1,1,1,1,1,,1,,,,1,,1,,1,1
Central African Rep.,"Climate related disasters frequency, Number of Disasters: Storm",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,1,2,1,,1,,1,,,,,
Central African Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,1,,,,,,,,,,,,2,1,,1,2,,1,1,1,1,1,,1,1,3,1,2,2,2,,1,,2,,1,,1,3
Central African Rep.,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1
Chad,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,1,,,,,1,,,,,1
Chad,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,1,,,1,,,1,,,,1,,,1,1,,1,,,,,1,2,2,2,1,,2,,,,,,,1,2,1,1
Chad,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Chad,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Chad,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,1,,,2,,,1,,1,,1,,1,1,1,,2,,,,,1,3,2,3,1,,3,,,,,1,,2,2,1,2
Chile,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,1,,,,,1,,1,,1,,,1,,,1,1,,1,,,,,,,,,
Chile,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,1,2,,1,1,,,1,,1,,1,,,2,3,3,,1,2,1,,2,,,,1,,1,2,1,3,,1,,1,
Chile,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Chile,"Climate related disasters frequency, Number of Disasters: Storm",,,,,2,,1,,,,,,2,,,,,2,,,,1,,,,1,,,,,,,,,,1,,,,,,1,
Chile,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,,2,,2,3,,1,1,2,3,2,,2,,4,,1,3,4,5,1,2,3,1,1,2,,1,3,2,1,2,4,1,5,,2,,2,2
Chile,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,1,1,,,,1,,1,,,1,1,,,,,,,,2,1,,1,1,,1,,1,,,2
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Drought",,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Flood",,,1,1,,2,,1,,1,,,1,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Landslide",,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Storm",2,,1,2,,1,2,,1,2,,1,2,6,,,,1,,1,,,,2,,,,,3,1,1,,,,,,,2,1,,,2,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: TOTAL",2,1,4,4,,3,2,2,1,3,,1,3,7,1,,,2,,1,,,,2,,1,,,3,1,1,,,,,,,2,1,,,2,
"China, P.R.: Hong Kong","Climate related disasters frequency, Number of Disasters: Wildfire",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China, P.R.: Macao","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"China, P.R.: Macao","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,1,,,1,,,1,2,,2,1,,1,,1,3,2,3,2,,2,1,,1,2,1,,,1,2,1,1,1,,,,1,1
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,1,,,,,,,,1,,,3,,,,,1,,1,1,,,2,,,1,1,1,,,1,,,,,,
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Flood",4,5,4,1,2,7,2,4,8,1,3,3,6,4,6,3,4,6,5,6,9,9,10,6,9,11,20,11,7,7,5,5,12,14,13,12,12,12,8,6,5,4,4
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Landslide",,,2,,1,1,,1,2,1,,1,,1,1,1,4,2,1,1,2,6,4,2,1,,1,1,4,5,8,2,1,3,2,1,3,4,,2,1,,1
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Storm",1,1,,5,2,3,7,6,4,7,11,5,8,11,5,6,8,5,5,9,10,10,6,5,7,14,8,6,9,10,6,5,8,15,16,17,13,9,12,4,4,7,1
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: TOTAL",5,7,6,7,5,12,10,12,15,9,14,10,16,16,15,12,16,17,11,18,24,27,24,16,18,28,30,18,23,24,21,13,22,34,33,31,30,26,20,13,11,12,7
"China, P.R.: Mainland","Climate related disasters frequency, Number of Disasters: Wildfire",,1,,,,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,1,1,,
Colombia,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
Colombia,"Climate related disasters frequency, Number of Disasters: Flood",1,1,1,,1,,1,1,1,1,4,,,1,3,1,2,1,,3,3,2,4,3,2,3,1,4,2,1,3,2,3,1,4,1,2,4,2,5,3,10,9
Colombia,"Climate related disasters frequency, Number of Disasters: Landslide",,1,1,,,,3,2,,,,3,,3,,1,1,,1,2,,2,1,1,,,,,1,2,2,1,,,,1,,2,,1,1,1,4
Colombia,"Climate related disasters frequency, Number of Disasters: Storm",,,,1,,,1,,1,,,,,,,,,,,1,,1,,,,1,,,,,,,,,1,,,1,,,2,,1
Colombia,"Climate related disasters frequency, Number of Disasters: TOTAL",1,2,2,1,1,,5,3,2,1,4,4,,4,3,2,3,1,2,6,3,6,5,4,2,4,1,4,3,3,6,3,3,1,5,4,2,7,2,6,6,11,14
Colombia,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,
"Comoros, Union of the","Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comoros, Union of the","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,
"Comoros, Union of the","Climate related disasters frequency, Number of Disasters: Storm",,,,1,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,2,,,
"Comoros, Union of the","Climate related disasters frequency, Number of Disasters: TOTAL",,1,,1,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,2,,,
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,1,,,,1,,,1,,1,,2,1,2,,,3,1,1,1,2,2,1,,1,3,2,1,1,1,6,,4
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,1,,2,,,
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,2,,1,1,,1,,,,,,,,,,,,,,
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,,1,1,,,,1,,,1,,1,,3,1,4,,1,4,1,2,2,4,2,1,,2,4,2,2,1,3,6,,5
"Congo, Dem. Rep. of the","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,
"Congo, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,1,,,,1,1,,,1,,,1,1,1,,,,,2,,,,,,,2,2,1,1
"Congo, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,,,,,,,1,,,,1,1,,,1,,,1,1,1,,,,,2,,,,,,,2,2,1,1
Cook Islands,"Climate related disasters frequency, Number of Disasters: Storm",,1,,,,,,1,,,1,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,
Cook Islands,"Climate related disasters frequency, Number of Disasters: TOTAL",,1,,,,,,1,,,1,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,
Costa Rica,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,
Costa Rica,"Climate related disasters frequency, Number of Disasters: Flood",1,,,,,,,,1,,,1,,1,1,,1,,,1,,1,2,1,2,2,,2,3,,2,1,1,,,1,,,1,,,1,
Costa Rica,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,1,,,,,,,1,2,,1,,,,,,,1,,,1,,,,,,,,1,1,,,1,,1
Costa Rica,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,2,,,1,1,1,2,1,3,,2,1,1,1,2,1,2,3,,2,4,,2,1,1,,1,1,1,1,2,,1,1,1
Costa Rica,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,"Climate related disasters frequency, Number of Disasters: Drought",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,2,,,,2,1,1,1,1,1,1,,1
Côte d'Ivoire,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Côte d'Ivoire,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,1,2,,,,2,1,1,1,1,1,1,,1
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,2,,,,,,,,,,
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,,,,2,,1,,2,1,,,1,1,,,1
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,1,,,3,1,,3,,3,1,2,,,3,,3,,2,1,,2,1,1,,,1
"Croatia, Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,2,,,,,,,,,,1,,,,,
Cuba,"Climate related disasters frequency, Number of Disasters: Drought",,1,,,,,1,,,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,,1,,,,,,,
Cuba,"Climate related disasters frequency, Number of Disasters: Flood",,,,1,,1,1,,1,,2,,1,2,1,1,2,1,,,1,,1,1,,,1,1,1,,,,1,1,,1,,,,,,,1
Cuba,"Climate related disasters frequency, Number of Disasters: Storm",1,,1,,,1,,,2,,,,,1,1,2,1,,1,1,,1,2,,2,2,1,2,4,,,,2,,,,1,1,2,1,2,2,2
Cuba,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,1,1,,2,2,1,3,,2,,1,4,2,3,3,1,2,2,2,1,3,1,3,2,2,3,5,,,,3,1,,2,1,1,2,1,2,2,3
Cuba,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,
Cyprus,"Climate related disasters frequency, Number of Disasters: Storm",,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Cyprus,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,1,,,,,,,,1,,,,,,,1,,3,,,1,1,,,1,,,,,,,,,,,,,,1,
Cyprus,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,
Czech Rep.,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,2,,,,,,1,,,,
Czech Rep.,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,1,2,,,1,3,,,1,,,,,,,,1,
Czech Rep.,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,2,,,1,,1,1,1,,,,,,,,1,,,1,2,2
Czech Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,1,1,1,,1,,3,1,,3,2,1,1,2,4,,2,1,,,,1,1,,1,3,2
Denmark,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,"Climate related disasters frequency, Number of Disasters: Storm",1,1,,1,,1,,,,,3,,,,,,,,,1,,,1,,,1,,1,,,1,,,2,,,,,,,,,1
Denmark,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,1,,1,,,,,3,,1,,,,,,,1,,,1,,,1,,1,,,1,,,2,,,,,,,,,1
Djibouti,"Climate related disasters frequency, Number of Disasters: Drought",1,,,1,,,,,1,,,,,,,,1,,,1,,,,,,1,,1,1,,1,,,,,,,,,,,,1
Djibouti,"Climate related disasters frequency, Number of Disasters: Flood",,1,,,,,,,,1,,,,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,
Djibouti,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Djibouti,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,1,,,,,1,1,,,,1,1,1,1,,,1,,,,,1,1,,1,1,,1,,,,,,,,1,1,1,,1
Dominica,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,1,,,,,1,,,,,,2,,,,1,,,,,,,,1,,,,1,,,,1,,1,,,,,
Dominica,"Climate related disasters frequency, Number of Disasters: TOTAL",1,,,,1,,,,,1,,,,,,2,,,,1,,,,,,,,1,,,,1,,,,1,,1,,,,,
Dominican Rep.,"Climate related disasters frequency, Number of Disasters: Flood",,1,,,,1,,,1,,,1,,2,,,1,,,,,,1,2,1,1,,2,,2,2,1,2,1,1,2,2,,1,,,,2
Dominican Rep.,"Climate related disasters frequency, Number of Disasters: Storm",1,,,,,,1,1,,1,,,,,,2,1,,1,,,1,,1,3,1,,3,3,,1,2,2,,,1,1,3,1,,2,2,1
Dominican Rep.,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,1,,1,1,1,1,1,,1,,2,,2,2,,1,,,1,1,3,4,3,,5,3,2,3,3,4,1,1,3,3,3,2,,2,2,3
Dominican Rep.,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Ecuador,"Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,
Ecuador,"Climate related disasters frequency, Number of Disasters: Flood",,,1,1,,,,1,,1,,,1,,,,,2,,,1,2,2,1,,,1,,1,1,2,1,1,1,,1,2,,,1,1,2,5
Ecuador,"Climate related disasters frequency, Number of Disasters: Landslide",,,,1,,,,1,,,,,,3,,,,,,,2,,,,,,,,,,,1,,2,,,,,,1,,,
Ecuador,"Climate related disasters frequency, Number of Disasters: TOTAL",,,1,2,,1,,2,,1,,,1,3,1,,,3,,,3,2,2,1,,,1,,1,2,2,2,2,4,,1,2,,,2,1,2,5
Ecuador,"Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Egypt, Arab Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,
"Egypt, Arab Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,1,,,1,1,1,1,,,,,2,,,,,,,,2,,,,,,,,,,1,1,
"Egypt, Arab Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,1,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,2,1,,,,,,
"Egypt, Arab Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,1,,,,1,,,1,2,2,2,,,1,,2,,1,,,,,,3,,,,,3,1,,,,1,1,
El Salvador,"Climate related disasters frequency, Number of Disasters: Drought",,,1,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,,,,1,,,,1,,,,
El Salvador,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
El Salvador,"Climate related disasters frequency, Number of Disasters: Flood",,,1,,,,,,1,1,,,1,,,1,,,,1,1,1,1,,,2,,1,2,,,1,,,,1,,,1,,,1,
El Salvador,"Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
El Salvador,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,2,,1,,1,3,,,,,1,,1,,,3,,2
El Salvador,"Climate related disasters frequency, Number of Disasters: TOTAL",,,2,,,,,,2,1,,,1,1,1,1,1,1,2,1,2,2,2,,,4,1,2,2,2,3,1,,,1,2,,1,2,,4,1,2
"Eritrea, The State of","Climate related disasters frequency, Number of Disasters: Drought",,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
"Eritrea, The State of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
"Eritrea, The State of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eritrea, The State of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,2,,,,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,
"Estonia, Rep. of","Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
"Estonia, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Estonia, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: Drought",,1,,,1,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,,1,,,
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: Storm",,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,1
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: TOTAL",,1,,,2,,,,,,1,,,,,,,,,,1,1,,,,1,1,2,1,,,,,,1,,1,,,1,,1,1
"Eswatini, Kingdom of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,1,,1,,,,,,,,1,1,1,,,,1,,1,,,1,1,1,1,,,,1,,,,,,1,1
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,1,,,,2,,,2,,1,,,2,1,1,2,2,,6,2,3,1,1,,4,7,2,3,,2,1,,1,,1,2,,,1,2,1,1
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: Landslide",,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,2,1,2,,
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",,1,,1,,2,,1,2,1,1,,,2,2,1,2,3,1,7,4,3,1,2,,5,7,2,4,1,3,2,,1,,2,2,,2,2,4,2,2
"Ethiopia, The Federal Dem. Rep. of","Climate related disasters frequency, Number of Disasters: Wildfire",,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Fiji, Rep. of","Climate related disasters frequency, Number of Disasters: Drought",,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
"Fiji, Rep. of","Climate related disasters frequency, Number of Disasters: Flood",,,,,,,1,,,1,,,,,,,,,,,1,,,,1,,1,2,,1,,,2,,,,,,,,,,
"Fiji, Rep. of","Climate related disasters frequency, Number of Disasters: Storm",1,1,,2,,3,1,1,,,1,,1,1,,,,1,,1,,1,,1,1,,1,2,1,1,1,,1,,,,2,,2,1,3,1,1
"Fiji, Rep. of","Climate related disasters frequency, Number of Disasters: TOTAL",1,1,,3,,3,2,1,,1,1,,1,1,,,,1,1,1,1,1,,1,2,,2,4,1,2,1,,3,,,1,2,,2,1,3,1,1
Finland,"Climate related disasters frequency, Number of Disasters: Flood",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Finland,"Climate related disasters frequency, Number of Disasters: Storm",,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,"Climate related disasters frequency, Number of Disasters: TOTAL",,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
France,"Climate related disasters frequency, Number of Disasters: Drought",,,1,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
France,"Climate related disasters frequency, Number of Disasters: Extreme temperature",,,,,,1,,,,,1,2,,,,,,1,,,,,,1,,2,1,,1,2,1,,1,,,1,,,2,2,1,1,1
France,"Climate related disasters frequency, Number of Disasters: Flood",1,1,,3,,,,1,1,,,,1,1,3,,2,,,3,6,5,3,2,,2,,,,,1,1,,1,3,1,1,1,2,2,3,6,
France,"Climate related disasters frequency, Number of Disasters: Landslide",,,2,2,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
France,"Climate related disasters frequency, Number of Disasters: Storm",,,2,2,3,1,,1,,1,8,,2,2,,1,1,,1,3,1,2,2,2,1,,2,3,3,1,2,1,,2,4,1,,1,3,5,3,2,4
France,"Climate related disasters frequency, Number of Disasters: TOTAL",1,1,6,8,5,3,1,2,1,2,10,3,3,3,3,1,3,3,2,8,7,7,5,6,1,5,3,3,4,4,4,2,1,3,7,3,1,3,7,9,7,9,6
